id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,league,season
1339039e,1,Liel Abada,ISR,FW,Charlotte,22-301,2001,12.1,4,35,19,54.3,2.89,1.57,0.11,0.21,16.4,0,0,0,4.6,4.6,0.13,-0.6,-0.6,Matches,USA-Major League Soccer,24-25
509eb2dc,2,Jose Casas de Abadal,USA,"FW,DF",Inter Miami,24-040,2000,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,USA-Major League Soccer,24-25
1f462f95,3,Luis Abram,PER,DF,Atlanta Utd,28-154,1996,11.5,0,8,1,12.5,0.69,0.09,0.0,0.0,9.4,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches,USA-Major League Soccer,24-25
4a67f05b,4,Lalas Abubakar,GHA,DF,Rapids,29-218,1994,7.7,0,3,0,0.0,0.39,0.0,0.0,,7.4,0,0,0,0.3,0.3,0.1,-0.3,-0.3,Matches,USA-Major League Soccer,24-25
ece10cfe,5,Kellyn Acosta,USA,MF,Fire,29-006,1995,19.7,2,19,5,26.3,0.96,0.25,0.11,0.4,26.2,3,0,0,1.0,1.0,0.05,1.0,1.0,Matches,USA-Major League Soccer,24-25
363ba6d7,6,Luciano Acosta,ARG,MF,FC Cincinnati,30-060,1994,22.6,11,61,20,32.8,2.7,0.89,0.15,0.45,20.9,10,2,3,8.2,5.8,0.1,2.8,3.2,Matches,USA-Major League Soccer,24-25
f1e19fad,7,Jordan Adebayo-Smith,NGA,"FW,MF",Minnesota Utd,24-201,2000,2.8,0,5,3,60.0,1.77,1.06,0.0,0.0,14.3,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches,USA-Major League Soccer,24-25
7f2309be,8,Sam Adekugbe,CAN,"MF,FW",Vancouver W'caps,29-196,1995,3.1,0,3,0,0.0,0.97,0.0,0.0,,12.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,USA-Major League Soccer,24-25
86429529,9,Samuel Adeniran,USA,FW,Philadelphia,25-304,1998,0.3,0,3,1,33.3,9.0,3.0,0.0,0.0,12.0,0,0,0,0.6,0.6,0.2,-0.6,-0.6,Matches,USA-Major League Soccer,24-25
86429529,10,Samuel Adeniran,USA,"FW,MF",St. Louis,25-304,1998,6.6,2,26,6,23.1,3.93,0.91,0.08,0.33,16.6,0,0,0,2.2,2.2,0.09,-0.2,-0.2,Matches,USA-Major League Soccer,24-25
06e75d19,11,Leonardo Afonso,BRA,"FW,MF",Inter Miami,23-017,2001,2.7,2,5,2,40.0,1.82,0.73,0.4,1.0,15.9,0,0,0,0.7,0.7,0.14,1.3,1.3,Matches,USA-Major League Soccer,24-25
cea02b5b,12,Stephen Afrifa,CAN,"FW,MF",Sporting KC,23-162,2001,4.7,3,15,4,26.7,3.21,0.86,0.2,0.75,15.6,0,0,0,1.7,1.7,0.11,1.3,1.3,Matches,USA-Major League Soccer,24-25
d2275b1b,13,William Agada,NGA,FW,Sporting KC,24-317,1999,14.1,9,64,22,34.4,4.54,1.56,0.14,0.41,13.9,0,0,1,11.0,10.2,0.16,-2.0,-1.2,Matches,USA-Major League Soccer,24-25
ecc5063f,14,Daniel Aguirre,USA,"MF,FW",LA Galaxy,25-028,1999,1.2,0,3,0,0.0,2.52,0.0,0.0,,14.1,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches,USA-Major League Soccer,24-25
d987142b,15,Patrick Agyemang,USA,FW,Charlotte,23-266,2000,17.0,7,45,17,37.8,2.65,1.0,0.16,0.41,12.8,0,0,0,6.3,6.3,0.14,0.7,0.7,Matches,USA-Major League Soccer,24-25
540a5be1,16,Ali Ahmed,CAN,"MF,DF",Vancouver W'caps,23-294,2000,12.4,1,11,3,27.3,0.89,0.24,0.09,0.33,17.1,0,0,0,0.6,0.6,0.05,0.4,0.4,Matches,USA-Major League Soccer,24-25
840f67fe,17,Forster Ajago,GHA,FW,Nashville,22-349,2001,3.4,0,7,3,42.9,2.04,0.87,0.0,0.0,15.9,0,0,0,1.0,1.0,0.14,-1.0,-1.0,Matches,USA-Major League Soccer,24-25
f2a68b97,18,Carlos Akapo,EQG,DF,SJ Earthquakes,31-140,1993,12.0,0,8,2,25.0,0.67,0.17,0.0,0.0,19.2,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches,USA-Major League Soccer,24-25
cfed08d5,19,Matai Akinmboni,USA,DF,D.C. United,17-287,2006,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,USA-Major League Soccer,24-25
214d2406,20,Ayo Akinola,CAN,"FW,MF",Toronto FC,24-192,2000,1.0,0,2,0,0.0,2.07,0.0,0.0,,9.8,0,0,0,0.3,0.3,0.17,-0.3,-0.3,Matches,USA-Major League Soccer,24-25
4601e194,21,Jordi Alba,ESP,DF,Inter Miami,35-131,1989,17.6,4,14,6,42.9,0.8,0.34,0.29,0.67,20.4,0,0,0,1.7,1.7,0.12,2.3,2.3,Matches,USA-Major League Soccer,24-25
